Feature_1,Feature_2,person
1.101280799,-2.12356309,2
1.927902381,0.887553758,1
1.539305958,0.192252858,5
0.826968601,-1.773382632,2
0.443368213,-0.155481065,4
-0.575631365,-0.007954163,4
0.06823798,0.392142826,4
1.18983456,-1.318792143,2
2.246951175,1.02199539,1
0.946915832,-0.239489173,5
-0.254038115,-0.454454167,4
1.195060353,-0.029752759,5
0.141971287,-0.021848674,4
0.704282186,-1.848786045,2
1.360364177,-2.122422612,2
0.989594534,0.07026442,5
0.580429728,-1.831109229,2
0.797082309,0.54028213,5
0.937563325,1.85209972,3
1.171267153,2.340669692,3
0.954464471,2.176495162,3
1.158941253,-1.567529414,2
0.710522962,-1.794184562,2
0.730475599,2.147575751,3
-0.2030766,0.183502887,4
-0.102814355,-0.240683181,4
1.175178456,-0.107787627,5
1.132004335,-0.150616267,5
0.087921742,-0.214305425,4
-0.021603036,0.301059869,4
0.961624723,-2.286662132,2
1.989503453,1.531240191,1
1.070684367,-1.768740442,2
1.456937223,-1.838326987,2
1.435343082,2.287781248,3
-0.424611223,-0.126193597,4
0.108418682,0.46141097,4
1.008623447,0.383535559,5
0.853168167,0.313248263,5
0.857516407,1.80400123,3
1.177196449,0.332611074,5
-0.210615928,-0.098298644,4
1.84264392,1.146812368,1
1.192816828,0.398745759,5
0.990061908,0.538367359,5
1.827308652,1.036602944,1
0.56559583,-0.659641787,5
0.998919238,-0.347509407,5
2.058753577,0.706488167,1
0.029123265,0.290593497,4
0.244055165,-0.369259295,4
2.056030029,0.77338512,1
1.081137048,-2.015071433,2
-0.242548081,-0.150527113,4
-0.180191607,-0.087508125,4
1.922122595,0.549057114,1
1.060876906,-0.454723234,5
0.828646303,0.171774834,5
1.897193722,0.88856774,1
2.260881776,1.406691358,1
0.993729522,2.035198215,3
1.383299469,1.822528583,3
1.675683038,1.315945856,1
1.61301173,0.611476368,1
1.03608869,-1.84566835,2
-0.117632446,-0.439054484,4
-0.48224497,0.055390158,4
0.25850665,-2.239068577,2
-0.073616435,-0.226120849,4
1.039890902,-0.210036244,5
1.235740048,0.127637269,5
0.565574698,1.577760868,3
1.102526793,2.562851252,3
-0.371085213,-0.396136984,4
1.102817604,0.137025966,5
0.854390936,2.024562242,3
0.965638046,2.371344894,3
-0.265157231,0.046117532,4
0.439694631,-0.06773289,4
0.919037519,-2.293629115,2
1.073489971,1.847917047,3
0.995073131,0.356517982,5
0.088836083,0.078316582,4
1.150275156,-2.293266573,2
2.216501619,0.661284469,1
0.342846844,0.22557991,4
2.212325581,0.831259967,1
1.269879963,2.092189856,3
1.742492666,1.210092964,1
2.128885466,1.062306306,1
1.633361657,1.213899529,1
0.02989541,-0.151042696,4
1.639910012,1.41437366,1
1.473871644,-0.156858008,5
1.577746492,0.766654994,1
0.486059641,2.406161712,3
0.56585577,0.052373344,5
0.08300724,0.248154975,4
2.059425428,0.956691876,1
0.15658247,0.089095402,4
0.768152436,1.928954418,3
0.289012839,0.123834278,4
-0.443556597,-0.215953263,4
1.988133454,1.204450209,1
1.034055204,2.198639202,3
1.197563282,0.603061362,5
0.981196271,-1.713457304,2
2.733725594,1.038766355,1
0.062659079,-0.587901037,4
0.804807229,-2.146137615,2
0.027619798,1.692683708,3
1.246144654,0.152182209,5
1.324915373,2.316140616,3
2.189722322,1.291766335,1
0.051954278,0.115595214,4
-0.27582727,0.464980322,4
0.864980359,-1.81314502,2
0.966301585,-2.06629088,2
0.866349244,0.436015343,5
-0.204007416,0.069676109,4
0.586204232,-0.219279012,5
1.029799692,-1.774583863,2
-0.163314817,0.033276777,4
1.09327227,2.442606865,3
0.003900568,0.436060223,4
0.752350841,1.903584248,3
1.190934007,0.98371154,1
0.864308104,-0.727163798,5
0.176057128,0.657136688,4
0.362831283,1.842273493,3
1.309553362,-0.445668112,5
-0.07939705,0.81605075,4
-0.234975988,-0.096618455,4
-0.048385713,0.121215257,4
1.475805045,1.62865535,3
1.414647697,0.194612966,5
1.762857663,1.141440507,1
0.075147855,0.103934463,4
0.790082348,-1.935806027,2
1.432381987,1.569241355,3
0.097225191,-0.115524684,4
1.836524274,1.119740834,1
1.019284006,1.676676567,3
1.450707116,-1.977771566,2
2.14430277,1.067165207,1
0.772260202,2.045118136,3
1.919333393,0.668042227,1
-0.266854329,-0.244743085,4
-0.140842316,0.162768013,4
1.247624905,2.244052891,3
2.250176646,1.137754024,1
1.380073345,1.78769916,3
1.707238024,1.316092539,1
1.18425001,-1.772747687,2
1.021469871,-2.143297234,2
0.751301497,1.831945688,3
1.170930184,0.134312568,5
1.067227745,2.00377772,3
1.252193065,-0.195787194,5
0.02611412,-0.089702205,4
1.02930283,1.768097065,3
1.89926459,1.500706458,1
0.91917795,-1.784737323,2
0.621734814,2.275358584,3
0.933710748,0.008065752,5
0.645022446,-2.611769653,2
0.518066104,-1.938960909,2
1.155803954,2.459821674,3
2.373825558,0.37798293,1
0.592043158,0.22387607,5
1.213484463,-2.337392628,2
0.994446059,1.913402408,3
1.029098789,2.178547108,3
0.808783862,0.356704959,5
1.506142491,-1.735508073,2
1.353832036,1.859247304,3
0.663183394,0.114722924,5
1.758079728,-0.159260632,5
1.786146265,1.031929068,1
0.438762424,-2.105454045,2
1.715180333,1.789714619,3
1.376726838,-0.268382191,5
2.07680892,1.294807295,1
0.925846785,-0.204595274,5
0.542342449,-0.207572421,5
0.905419227,2.227690766,3
1.29529672,-0.064196653,5
0.934695639,2.329633056,3
0.750293328,0.141424667,5
0.274620635,0.098625333,4
0.801464061,2.25573,3
1.038431324,-0.204315497,5
1.187235945,2.188503653,3
0.973079292,0.432035165,5
0.784466734,1.935965854,3
1.286200529,2.195417375,3
0.762243778,1.965579068,3
0.388562639,-2.302425893,2
-0.297160898,-0.169889319,4
2.477955988,0.846635297,1
0.149014246,-0.04147929,4
0.753333881,2.073106163,3
1.058956351,0.212701127,5
1.025976936,-2.046703171,2
0.924229555,1.625665045,3
0.928315586,-2.272269099,2
0.69875777,-0.23033927,5
1.191577738,-2.498456019,2
0.985160887,0.202445848,5
-0.357391049,0.196966083,4
1.301887843,-2.173067561,2
1.643183227,2.190175707,3
1.285127151,1.826928903,3
-0.272407223,-0.42369111,4
1.098078212,-2.065730159,2
2.124030471,1.563038744,1
1.451019491,0.263208687,5
1.347433262,2.237498808,3
0.499178416,-1.836991942,2
0.967890892,-2.310572697,2
0.698194786,1.635743416,3
1.978950287,0.50171172,1
0.309299857,0.279384036,4
2.21328799,1.133278993,1
1.08429756,1.813190144,3
2.554686828,1.337969509,1
0.97141134,0.083706458,5
1.133145828,2.232390216,3
1.073140214,-0.169223589,5
1.58941754,-1.989420934,2
1.812554427,1.007827315,1
0.986324195,0.073001835,5
1.492260611,1.458865096,1
0.927629183,0.105616619,5
0.987952615,-0.429232531,5
1.930719641,1.208861909,1
0.832323446,0.113163563,5
0.194306561,0.456908957,4
1.923506835,1.451197897,1
1.074815105,0.473235984,5
1.311261983,-2.15300492,2
1.193645254,0.648976417,5
1.923664243,-1.664127527,2
0.017462616,-0.342891089,4
-0.51747535,-0.168686259,4
1.261337411,-2.09780706,2
1.375421178,1.50893691,3
0.845839925,-2.317764057,2
0.221539974,0.051410484,4
0.027528233,-0.596270674,4
0.246763474,-0.366253095,4
0.545442681,-1.58993772,2
0.813057842,-0.166643136,5
0.804449168,-1.985780399,2
1.529636272,2.121494513,3
0.997608208,-1.556016758,2
1.007353052,2.149399487,3
1.447737731,0.61612691,1
1.049935662,0.147735379,5
1.249100745,-2.256825148,2
0.524829153,0.228124397,5
1.204709057,1.327452056,3
-0.465199029,0.020568892,4
0.840922714,-2.23786185,2
1.615871194,1.526438255,1
1.013671552,1.804519896,3
0.737314524,-2.414839919,2
1.154514306,3.155819447,3
-0.133954486,0.256919638,4
1.257297887,1.952018441,3
0.001534037,-0.07037614,4
1.224188082,2.18311108,3
-0.398455815,0.059058371,4
2.768025361,0.97118203,1
2.00553018,1.104274512,1
0.488985268,-2.01666431,2
0.473763845,0.230230419,4
1.054559877,-1.925533824,2
1.066640131,-0.143624586,5
-0.138191631,0.317136668,4
1.204585891,1.906919973,3
1.193612785,-1.589410533,2
2.277208106,0.944529359,1
0.699513997,-0.084330088,5
1.990174019,0.836972569,1
2.0533103,0.599396692,1
1.533011248,1.181802985,1
0.539765749,-1.616696953,2
-0.067038836,0.214200148,4
0.108490808,-0.193535926,4
1.36195269,-0.245080701,5
1.00157311,-1.985905822,2
1.689669437,-0.108851568,5
0.721920859,1.982142393,3
-0.010413531,-0.350603411,4
2.092340531,0.486949482,1
2.564607349,1.403626014,1
1.788696893,0.577461611,1
-0.010747812,0.469393097,4
1.243858636,2.188888653,3
1.618224377,-1.473397747,2
1.028836233,-0.138682587,5
0.347578674,-0.246204696,4
0.866712022,-1.886809852,2
2.083990588,0.662353286,1
1.248821674,-2.663340593,2
1.207043198,1.879633858,3
2.032818438,1.217729987,1
0.392457224,2.055936294,3
1.115219635,-2.009808424,2
2.114059355,1.183175724,1
0.858688508,2.069614981,3
2.06330524,0.970986066,1
1.493490314,-2.074710812,2
0.077265117,-0.022333775,4
0.823190573,2.254880629,3
1.151496184,2.259726558,3
0.773094776,-2.426676113,2
2.227096585,0.723350403,1
0.103085487,-0.528912047,4
2.081473651,0.616975427,1
0.90766653,0.065745098,5
-0.023130513,0.102345592,4
0.020258461,-0.427424456,4
-0.345298073,0.112709406,4
1.595544373,1.222979228,1
1.645954737,1.769795731,3
1.143693948,-1.899901368,2
1.636646859,2.309739578,3
-0.070246012,-0.070241087,4
1.553991099,-0.32102543,5
1.024685197,0.319644113,5
-0.034694485,-0.090331109,4
1.703118554,0.962263924,1
0.709907157,-0.014313407,5
2.186542989,0.528932584,1
1.099694204,-2.224545961,2
0.624538173,0.433129381,5
1.062514842,-0.612520461,5
0.072588681,-0.573984073,4
2.344781998,0.789047072,1
1.277853264,-1.427175008,2
1.69439757,1.439820442,1
0.975354646,0.335188749,5
0.246618048,0.569037895,4
1.696368687,0.503542998,1
2.177930377,0.907136068,1
0.994295138,1.699241191,3
2.772007941,1.01776553,1
0.511737269,-1.985574516,2
0.679713871,-2.042713846,2
2.499642333,1.30431102,1
-0.065901566,0.107133771,4
0.596664847,-0.275595584,5
0.60865915,-1.799098235,2
2.034268295,1.045090528,1
0.077964838,0.234546862,4
0.801212872,-1.828820399,2
-0.303849336,0.0942742,4
1.977669971,1.186201629,1
0.639911078,1.899649629,3
1.110601993,-0.118001644,5
1.95259763,0.871935679,1
1.182368953,0.055982737,5
1.890916336,0.982916313,1
1.466383925,1.448813293,1
1.426151274,-0.171223888,5
1.816544659,0.578001671,1
